Metabolite	MIDAS_ID	Pool	KEGG_ID	HMDB_ID	SMILES	KEGG_pathway_association
Deoxyguanosine 5-diphosphate	CNC_76	2	C00361	HMDB00960	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)N1	Purine metabolism
Octanoyl coenzyme A	CNC_78	2	C01944	HMDB01070	CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12	Fatty acid elongation;Fatty acid degradation;Lipoic acid metabolism;Fatty acid metabolism
3-Hydroxy-3-methylglutaric acid	CNC_80	4	C03761	HMDB00355	CC(O)(CC(O)=O)CC(O)=O	
(4R)-4-Hydroxy-L-glutamic acid	CNC_81	2	C05947	HMDB02273	NC(CC(O)C(O)=O)C(O)=O	Arginine and proline metabolism
Gamma-Glu-Cys	CNC_82	4	C00669	HMDB01049	N[C@@H](CCC(=O)N[C@@H](CS)C(O)=O)C(O)=O	Glutathione metabolism;Ferroptosis
Acetyl coenzyme A	CNC_84	2	C00024	HMDB01206	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	"Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Fatty acid biosynthesis;Fatty acid elongation;Fatty acid degradation;Synthesis and degradation of ketone bodies;Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Lysine degradation;Phenylalanine metabolism;Tryptophan metabolism;beta-Alanine metabolism;Taurine and hypotaurine metabolism;Glutathione metabolism;Inositol phosphate metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Butanoate metabolism;Terpenoid backbone biosynthesis;Carbon metabolism;Fatty acid metabolism;HIF-1 signaling pathway;AMPK signaling pathway;Ferroptosis;Thermogenesis;Cholinergic synapse;Glucagon signaling pathway;Insulin resistance;Bile secretion;Central carbon metabolism in cancer"
Guanosine 5-diphosphate	CNC_88	4	C00035	HMDB01201	NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1	Purine metabolism;RNA transport;Ras signaling pathway;Rap1 signaling pathway;Autophagy - animal;Endocytosis
Thymidine 5-triphosphate	CNC_89	4	C00459	HMDB01342	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O	Pyrimidine metabolism
"2,3-Diphosphoglyceric acid"	CNC_94	4	C01159	HMDB01294	OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O	Glycolysis / Gluconeogenesis
Coenzyme A	CNC_97	4	C00010	HMDB01423	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS	Fatty acid degradation;Pantothenate and CoA biosynthesis;Ferroptosis;Thermogenesis;Cholinergic synapse;Fat digestion and absorption;Vitamin digestion and absorption
Deoxycytidine triphosphate	CNC_99	4	C00458	HMDB00998	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1	Pyrimidine metabolism
2-Deoxy-D-ribose	D_1	2	C01801	HMDB03224	OC[C@@H]1O[C@H](O)C[C@H]1O	Pentose phosphate pathway
"2,5-Dihydroxybenzaldehyde"	D_11	3	C05585	HMDB04062	OC1=CC(C=O)=C(O)C=C1	Tyrosine metabolism
L-Dihydroorotic acid	D_12	3	C00337	HMDB00528	OC(=O)C1CC(=O)NC(=O)N1	Pyrimidine metabolism
"DL-3,4-Dihydroxymandelic acid"	D_13	3	C05580	HMDB01866	OC(C(O)=O)C1=CC=C(O)C(O)=C1	Tyrosine metabolism
Dulcitol	D_2	1	C01697	HMDB00107	OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	Galactose metabolism
Decanoic acid	D_4	4	C01571	HMDB00511	CCCCCCCCCC(O)=O	Fatty acid biosynthesis
Dihydrouracil	D_5	1	C00429	HMDB00076	O=C1CCNC(=O)N1	Pyrimidine metabolism;beta-Alanine metabolism;Pantothenate and CoA biosynthesis
Folic acid	F_5	4	C00504	HMDB00121	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	One carbon pool by folate;Folate biosynthesis;Antifolate resistance;Bile secretion;Vitamin digestion and absorption
D-Glucose	G_1	2	C00031	HMDB00122	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	"Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Galactose metabolism;Starch and sucrose metabolism;Amino sugar and nucleotide sugar metabolism;Neomycin, kanamycin and gentamicin biosynthesis;ABC transporters;HIF-1 signaling pathway;FoxO signaling pathway;AMPK signaling pathway;Taste transduction;Insulin signaling pathway;Insulin secretion;Prolactin signaling pathway;Glucagon signaling pathway;Type II diabetes mellitus;Insulin resistance;Non-alcoholic fatty liver disease (NAFLD);AGE-RAGE signaling pathway in diabetic complications;Carbohydrate digestion and absorption;Bile secretion;Mineral absorption;Central carbon metabolism in cancer"
L-Glutamic acid	G_12	1	C00025	HMDB00148	N[C@@H](CCC(O)=O)C(O)=O	"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;Histidine metabolism;Taurine and hypotaurine metabolism;D-Glutamine and D-glutamate metabolism;Glutathione metabolism;Neomycin, kanamycin and gentamicin biosynthesis;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;Porphyrin and chlorophyll metabolism;Nitrogen metabolism;Aminoacyl-tRNA biosynthesis;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;FoxO signaling pathway;Phospholipase D signaling pathway;Neuroactive ligand-receptor interaction;Ferroptosis;Gap junction;Circadian entrainment;Long-term potentiation;Synaptic vesicle cycle;Retrograde endocannabinoid signaling;Glutamatergic synapse;GABAergic synapse;Long-term depression;Taste transduction;Proximal tubule bicarbonate reclamation;Protein digestion and absorption;Amyotrophic lateral sclerosis (ALS);Huntington disease;Spinocerebellar ataxia;Cocaine addiction;Amphetamine addiction;Nicotine addiction;Alcoholism;Central carbon metabolism in cancer"
Choline glycerophosphate	G_23	2	C00670	HMDB00086	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO	Glycerophospholipid metabolism;Ether lipid metabolism;Choline metabolism in cancer
Glucono delta-lactone	G_4	1	C00198	HMDB00150	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O	Pentose phosphate pathway;Carbon metabolism
4-Hydroxybenzoic acid	H_11	3	C00156	HMDB00500	OC(=O)C1=CC=C(O)C=C1	Ubiquinone and other terpenoid-quinone biosynthesis;Folate biosynthesis
2-Hydroxyphenylacetic acid	H_12	3	C05852	HMDB00669	OC(=O)CC1=CC=CC=C1O	Phenylalanine metabolism
Hypoxanthine	H_2	2	C00262	HMDB00157	OC1=NC=NC2=C1NC=N2	Purine metabolism
L-Histidine	H_6	1	C00135	HMDB00177	N[C@@H](CC1=CNC=N1)C(O)=O	Histidine metabolism;beta-Alanine metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Central carbon metabolism in cancer
4-Hydroxyphenylacetic acid	H_8	3	C00642	HMDB00020	OC(=O)CC1=CC=C(O)C=C1	Tyrosine metabolism;Phenylalanine metabolism
4-Hydroxyphenylpyruvic acid	H_9	3	C01179	HMDB00707	OC(=O)C(=O)CC1=CC=C(O)C=C1	"Ubiquinone and other terpenoid-quinone biosynthesis;Tyrosine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids"
Inosine 5-monophosphate	I_3	2	C00130	HMDB00175	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O	Purine metabolism;Antifolate resistance;Taste transduction
L-Isoleucine	I_5	1	C00407	HMDB00172	CC[C@H](C)[C@H](N)C(O)=O	"Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Aminoacyl-tRNA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Mineral absorption;Shigellosis;Central carbon metabolism in cancer"
4-Imidazoleacrylic acid	I_6	1	C00785	HMDB00301	OC(=O)\C=C\C1=CNC=N1	Histidine metabolism
L-Leucine	L_2	1	C00123	HMDB00687	CC(C)C[C@H](N)C(O)=O	"Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Aminoacyl-tRNA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;mTOR signaling pathway;Protein digestion and absorption;Mineral absorption;Shigellosis;Central carbon metabolism in cancer"
D-Mannose	M_2	2	C00159	HMDB00169	OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O	Fructose and mannose metabolism;Galactose metabolism;Amino sugar and nucleotide sugar metabolism;ABC transporters;Lysosome;C-type lectin receptor signaling pathway
5-Methoxytryptamine	M_7	1	C05659	HMDB04095	COC1=CC2=C(NC=C2CCN)C=C1	Tryptophan metabolism
5-Methoxy-3-indoleacetic acid	M_8	1	C05660	HMDB04096	COC1=CC2=C(NC=C2CC(O)=O)C=C1	Tryptophan metabolism
Nicotinamide	N_1	1	C00153	HMDB01406	NC(=O)C1=CN=CC=C1	Nicotinate and nicotinamide metabolism;Vitamin digestion and absorption
Nicotinic acid	N_2	1	C00253	HMDB01488	OC(=O)C1=CN=CC=C1	Nicotinate and nicotinamide metabolism;Pertussis
L-Ornithine	O_2	2	C00077	HMDB00214	NCCC[C@H](N)C(O)=O	Arginine biosynthesis;Arginine and proline metabolism;D-Arginine and D-ornithine metabolism;Glutathione metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters
Pyridoxal	P_10	1	C00250	HMDB01545	CC1=C(O)C(C=O)=C(CO)C=N1	Vitamin B6 metabolism;Vitamin digestion and absorption
L-Proline	P_4	1	C00148	HMDB00162	OC(=O)[C@@H]1CCCN1	Arginine and proline metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer
D-Proline	P_5	1	C00763	HMDB03411	OC(=O)[C@H]1CCCN1	Arginine and proline metabolism
Stachyose	S_4	3	C01613	HMDB03553	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO[C@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	Galactose metabolism
L-Serine	S_6	3	C00065	HMDB00187	N[C@@H](CO)C(O)=O	"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Sphingolipid metabolism;Glyoxylate and dicarboxylate metabolism;Sulfur metabolism;Aminoacyl-tRNA biosynthesis;Carbon metabolism;Biosynthesis of amino acids;ABC transporters;Sphingolipid signaling pathway;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer"
D-Serine	S_7	3	C00740	HMDB03406	N[C@H](CO)C(O)=O	"Glycine, serine and threonine metabolism;Taste transduction"
Sarcosine	S_9	2	C00213	HMDB00271	CNCC(O)=O	"Glycine, serine and threonine metabolism;Arginine and proline metabolism"
Taurine	T_2	1	C00245	HMDB00251	NCCS(O)(=O)=O	Primary bile acid biosynthesis;Taurine and hypotaurine metabolism;Sulfur metabolism;ABC transporters;Neuroactive ligand-receptor interaction
Thymine	T_4	2	C00178	HMDB00262	CC1=CNC(=O)NC1=O	Pyrimidine metabolism
L-Threonine	T_7	3	C00188	HMDB00167	C[C@@H](O)[C@H](N)C(O)=O	"Glycine, serine and threonine metabolism;Valine, leucine and isoleucine biosynthesis;Porphyrin and chlorophyll metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Mineral absorption"
Tyramine	T_9	1	C00483	HMDB00306	NCCC1=CC=C(O)C=C1	Tyrosine metabolism;Neuroactive ligand-receptor interaction;Protein digestion and absorption
Urea	U_1	2	C00086	HMDB00294	NC(N)=O	Arginine biosynthesis;Purine metabolism;Pyrimidine metabolism;Arginine and proline metabolism;Biotin metabolism;ABC transporters;Epithelial cell signaling in Helicobacter pylori infection
Uridine monophosphate	U_3	3	C00105	HMDB00288	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O	Pyrimidine metabolism
Uracil	U_4	2	C00106	HMDB00300	O=C1NC=CC(=O)N1	Pyrimidine metabolism;beta-Alanine metabolism;Pantothenate and CoA biosynthesis
L-Valine	V_1	3	C00183	HMDB00883	CC(C)[C@H](N)C(O)=O	"Valine, leucine and isoleucine degradation;Valine, leucine and isoleucine biosynthesis;Pantothenate and CoA biosynthesis;Aminoacyl-tRNA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer"
D-Xylitol	X_2	2	C00379	HMDB02917	OC[C@H](O)C(O)[C@H](O)CO	Pentose and glucuronate interconversions;ABC transporters
Xanthosine	X_4	3	C01762	HMDB00299	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O	Purine metabolism;Caffeine metabolism;ABC transporters
